respid,sample,attempt,fcall,refusal,int_date,ilang,cregion,state,density,sstate,susr,usr,scregion,sdensity,llitext,qintro2,form,qs3,qs4,qs5,qs6,qs1,q1,q2,campnii,thought,q5,q9,q9a,Q9HORSE3,q10,q10a,q10b,q10c,q10d,q10horse,q11,q12,oftvote,q20,q23,q24f1,q25f2,q30a,q30b,q33a,q33b,q34a,q34b,q34c,q35,q40a,q40b,q40c,q40d,q40e,q40f,q40if1,q40jf1,q40kf1,q40lf1,q40nf2,q40of2,q40pf2,q40qf2,q41,q42,q45a,q45b,q45c,q45d,q48a,q48b,q48c,q49a,q49b,q50a,q50b,q50c,q50d,q50ef1,q50ff1,q50gf1,q50hf1,q50if2,q50jf2,q50kf2,q50lf2,q55,q56,q57,q58,q59,q60,q71,q72,q78,q79,q80,q81,sex,age,gen5,educ,hisp,racem1,racem2,racem3,racem4,adults,racecmb,racethn,birth_hisp,qtaa5,lan1,lan2,lan3,lan4,marital,relig,chr,qe3sos,born,attend,q82,q83,q84,q85,income,reg,party,partyln,partysum,partyideo,ideo,q86,q87,hh1,hh3,ql1,ql1a,qc1,money2,isex,ihisp1,irace1m1,irace1m2,irace1m3,irace1m4,ll,cp,hispoversample,Primary_Language,cellweight,weight
201805,2,6,160619,0,160619,1,4,2,2,26,,U,2,4, , ,2, , , , ,2,9,2,2,1,3,9,1,1,1, ,2, ,2,1,1, ,1,4,2, ,2,2,2,3,3,1,1,2,2,1,1,2,1,1,2, , , , ,3,2,2,1,1,1,2,2,3,2,1,2,2,3,1,1,2,1,1, , , , ,2,2,1,2,3,1,2,2,2,3,1,1,4,1,2,4,1,56,3,6,2,1, , , ,2,1,1, ,2, , , , ,1,12, ,, ,4,1, , ,3,10,1,3,9,9,3,3, , ,5,2, , ,1,9,1,1,4, , , ,1,1, , ,0.4342023,0.3686632
201808,2,2,160619,0,160619,1,4,53,4,53,,U,4,4, , ,2, , , , ,2,1,2,1,1,1,1, ,1,1, ,2, ,2,1,2, ,2,4,1, ,2,2,1,3,4,1,2,2,3,1,1,1,1,2,1, , , , ,2,1,1,1,2,1,4,3,4,2,4,2,2,3,2,2,2,2,2, , , , ,2,2,2,2,4,3,2,2,1,3,2,2,4,1,2,4,2,49,4,7,2,1, , , ,2,1,1, ,2, , , , ,1,10, ,, ,6,2, , ,2,8,1,3,2,2,3,4,1, ,2,2, , ,2,9,2,1,1, , , ,0,1, , ,0.7631329,0.7418149
201811,2,2,160619,0,160619,1,3,51,1,51,,S,3,4, , ,2, , , , ,2,1,1,2,1,1,1, ,1,1, ,1, ,1,1,2, ,3,2,1, ,1,2,4,1,4,1,9,3,1,1,1,9,1,9,3, , , , ,3,9,1,2,2,1,4,1,2,2,2,2,2,1,2,2,2,2,2, , , , ,2,2,2,2,2,3,3,2,2,1,2,1,9,9,2,2,1,70,3,1,2,2, , , ,2,2,2, ,2, , , , ,6,1,1,,1,2,1,3, , ,10,1,2, ,2,9,9,2, ,2,2, , ,2,1,2,2,2, , , ,0,1, , ,1.4809815,1.170595
201817,2,4,160619,0,160619,1,3,12,3,12,,S,3,3, , ,1, , , , ,2,1,1,1,1,1,1, , ,1, , , , , , , , ,3,1,2, , , , , ,1,1,2,3,2,1,2,2,3,1,2,1,2,3, , , , , , ,4,3,4,2, , , , , ,2,2,2,2,2,3,2,2, , , , ,2,3,3,2,1,2, , ,2,1,2,4,2,46,4,6,2,1, , , ,2,1,1, ,2, , , , ,1,1, ,,2,5,2, , , ,8,3,3,2,2,3,3, , ,4,2, , ,2,9,2,2,1, , , ,0,1, , ,1.4076907,1.3070947
201818,2,2,160619,0,160619,1,4,6,3,6,,S,4,3, , ,1, , , , ,2,1,1,1,1,2,1, , ,1, , , , , , , , ,3,1,1, , , , , ,2,2,9,1,1,1,3,1,1,1,1,1,1,1, , , , , , ,1,1,1,1, , , , , ,2,2,2,2,2,2,2,2, , , , ,4,1,4,1,2,3, , ,1,2,9,3,2,20,5,3,1,4,1,2,7,3,4,3, ,2, , , , ,2,5, ,, ,4,2, , , ,4,3,3,2,2,3,5, , ,5,3, , ,2,1,1,2,1, , , ,0,1, ,2,1.4655543,1.4967948
201820,2,2,160619,0,160619,2,4,6,1,6,,U,4,1, , ,2, , , , ,2,1,1,3,1,1,1, ,1,1, ,1, ,1,1,2, ,2,2,9, ,1,1,2,2,4,1,1,1,3,1,1,1,2,3,1, , , , ,1,1,1,1,1,1,3,1,2,1,2,4,2,3,2,2,2,2,2, , , , ,2,2,2,3,3,1,4,2,2,2,3,2,2,2,2,1,1,37,4,1,1,8, , , ,2,9,3,1,1,1,1,4,4,1,2, ,,2,3,1, ,3, ,3,1,2, ,2,5,4,1, ,6,2, , ,2,9,2,1,1, , , ,0,1, ,3,0.4926702,0.4543149
201822,2,4,160619,0,160619,1,3,51,5,51,,U,3,5, , ,1, , , , ,2,1,1,1,1,1,1, ,1,1, ,2, ,2,1,2, ,1,4,1,2, ,1,4,2,4,1,1,2,1,1,1,1,1,1,1,2,2,2,1, , , , ,2,1,4,2,2,2,2,2,1,3,2,2,2,2,2,2,1,2,2, , , , ,3,3,1,2,1,2,2,2,3,1,2,2,2,36,4,8,2,2, , , ,1,2,2, ,2, , , , ,6,1, ,,1,2,2,1, , ,7,1,3,2,2,3,4,1, ,1, , , ,1,1,2,2,2, , , ,1,1, , ,1.1110309,0.872794
201826,2,3,160619,0,160619,2,4,6,5,6,,U,4,5, , ,2, , , , ,2,1,2,3,3,2,1, , ,3,1, , , , , , , ,3,1, ,1, , , , ,1,1,1,3,1,1,1,1,1,1, , , , ,2,1,1,1, , ,1,1,3,3, , , , , ,3,3,3,3, , , , ,3,2,2,9,3,3,3,5,1,2, , ,4,2,1,1,1,56,3,1,1,1, , , ,3,1,3,3,1,1,1,3,3,1,1, ,,1,1,2,1, , ,4,3,4,1,1,9,2, , ,3,3, , ,2,9,2,1,1, , , ,0,1, ,3,0.6034913,0.620259
201832,2,3,160619,0,160619,2,4,4,3,4,,U,4,3, , ,1, , , , ,2,1,1,1,1,1,1, , ,1, , , , , , , , ,4,1,2, , , , , ,1,1,1,1,1,1,1,1,1,1,1,1,1,4, , , , , , ,1,1,1,2, , , , , ,2,2,2,2,2,2,2,2, , , , ,3,1,3,2,1,2, , ,3,2,1,1,2,44,4,1,1,7, , , ,3,5,3,3,1,1,2,2,2,1,1, ,,1,2,2,3, , ,6,3,3,2,2,3,2, , ,4,4, , ,2,9,1,1,1, , , ,0,1, ,2,1.1502904,1.4706363
201837,2,2,160619,1,160619,1,3,51,1,51,,S,3,4, , ,2, , , , ,2,2,2,1,1,9,2, ,2,2, ,2,2, ,2, ,2,1,4,1, ,1,1,2,4,2,2,1,2,1,1,3,1,1,1,1, , , , ,2,1,2,2,1,1,3,4,4,2,1,3,1,2,3,1,1,1,1, , , , ,1,1,1,2,3,2,2,3,2,3,2,9,1,1,2,1,1,80,2,8,2,1, , , ,2,1,1, ,2, , , , ,1,1, ,,2,2,2, , , ,9,1,3,1,1,3,3, ,1,2,2, , ,1,1,1,2,1, , , ,1,1, , ,0.5333034,0.4202415
